x,y,r,g,b,opacity
34,1,252,252,253,0.01568627450980392
35,1,247,248,251,0.06666666666666667
36,1,243,244,249,0.12941176470588237
37,1,239,241,248,0.20392156862745098
38,1,237,239,247,0.27058823529411763
39,1,233,236,245,0.32941176470588235
40,1,234,236,244,0.3764705882352941
41,1,235,237,245,0.4
42,1,234,236,243,0.4117647058823529
43,1,232,234,242,0.403921568627451
44,1,230,233,242,0.3843137254901961
45,1,234,237,246,0.34901960784313724
46,1,238,240,248,0.28627450980392155
47,1,241,243,250,0.2235294117647059
48,1,245,246,252,0.15294117647058825
49,1,249,250,253,0.08235294117647059
50,1,252,252,254,0.027450980392156862
30,2,253,253,254,0.023529411764705882
31,2,247,249,254,0.11764705882352941
32,2,243,245,253,0.25882352941176473
33,2,236,239,250,0.4196078431372549
34,2,229,231,243,0.5607843137254902
35,2,225,228,240,0.6666666666666666
36,2,227,229,240,0.7294117647058823
37,2,232,233,240,0.7725490196078432
38,2,234,237,241,0.796078431372549
39,2,237,237,241,0.803921568627451
40,2,244,245,248,0.803921568627451
41,2,245,245,247,0.803921568627451
42,2,240,240,243,0.807843137254902
43,2,239,240,241,0.803921568627451
44,2,237,237,241,0.8
45,2,237,237,241,0.796078431372549
46,2,235,238,242,0.788235294117647
47,2,235,236,243,0.7725490196078432
48,2,236,239,248,0.7411764705882353
49,2,235,238,247,0.6823529411764706
50,2,231,234,247,0.592156862745098
51,2,232,235,248,0.4627450980392157
52,2,236,238,249,0.3058823529411765
53,2,244,246,252,0.1568627450980392
54,2,251,251,254,0.047058823529411764
27,3,253,253,254,0.023529411764705882
28,3,244,245,252,0.15294117647058825
29,3,233,236,248,0.3607843137254902
30,3,225,229,244,0.5803921568627451
31,3,227,230,243,0.7254901960784313
32,3,238,241,249,0.792156862745098
33,3,244,244,248,0.8156862745098039
34,3,243,243,244,0.8156862745098039
35,3,241,241,243,0.803921568627451
36,3,242,242,242,0.788235294117647
37,3,243,243,243,0.7764705882352941
38,3,244,244,244,0.7647058823529411
39,3,244,244,244,0.7568627450980392
40,3,247,247,247,0.7529411764705882
41,3,248,248,248,0.7490196078431373
42,3,245,245,245,0.7450980392156863
43,3,242,242,245,0.7411764705882353
44,3,242,242,244,0.7411764705882353
45,3,244,244,245,0.7450980392156863
46,3,244,244,245,0.7450980392156863
47,3,244,244,244,0.7529411764705882
48,3,247,247,249,0.7647058823529411
49,3,246,246,247,0.7764705882352941
50,3,242,242,245,0.792156862745098
51,3,237,239,243,0.8
52,3,230,234,241,0.796078431372549
53,3,224,227,242,0.7450980392156863
54,3,219,224,241,0.6235294117647059
55,3,223,227,243,0.43529411764705883
56,3,239,241,249,0.21568627450980393
57,3,251,251,253,0.054901960784313725
20,4,255,255,255,0.00392156862745098
21,4,255,255,255,0.00392156862745098
22,4,255,255,255,0.00392156862745098
25,4,249,250,253,0.0784313725490196
26,4,233,236,249,0.30196078431372547
27,4,221,227,245,0.5686274509803921
28,4,222,226,240,0.7529411764705882
