x,y,r,g,b,opacity
13,2,33,58,177,0.0
14,2,33,58,177,0.1
15,2,33,58,177,0.1
16,2,33,59,177,0.1
17,2,33,59,177,0.1
18,2,32,59,177,0.1
19,2,32,58,177,0.1
20,2,33,58,177,0.1
21,2,33,59,177,0.1
22,2,33,59,177,0.1
23,2,33,59,177,0.1
24,2,33,58,177,0.1
25,2,33,59,177,0.1
26,2,33,58,177,0.1
27,2,32,58,178,0.1
28,2,32,59,177,0.1
29,2,33,58,177,0.1
30,2,33,58,177,0.1
31,2,33,59,177,0.1
32,2,33,59,177,0.1
33,2,33,59,177,0.1
34,2,33,59,177,0.1
35,2,33,58,178,0.1
36,2,33,59,178,0.1
37,2,33,59,177,0.1
38,2,33,59,177,0.1
39,2,33,58,177,0.1
40,2,32,59,177,0.1
41,2,33,58,177,0.1
42,2,33,58,177,0.1
43,2,33,59,177,0.1
44,2,32,58,178,0.1
45,2,33,59,177,0.1
46,2,33,58,177,0.1
47,2,33,58,177,0.1
48,2,33,59,177,0.1
49,2,33,58,177,0.1
50,2,33,59,177,0.1
51,2,33,59,177,0.1
52,2,33,59,177,0.1
53,2,33,58,177,0.1
54,2,32,59,178,0.1
55,2,33,59,178,0.1
56,2,33,58,177,0.1
57,2,33,59,177,0.1
58,2,33,59,177,0.1
59,2,32,58,177,0.1
60,2,33,58,178,0.1
61,2,33,58,178,0.1
62,2,32,58,177,0.0
84,2,33,59,177,0.0
85,2,33,59,177,0.1
86,2,33,58,177,0.1
87,2,32,58,177,0.1
88,2,33,59,178,0.1
89,2,33,59,178,0.1
90,2,33,58,177,0.1
91,2,33,59,177,0.1
92,2,33,58,177,0.1
93,2,33,58,177,0.1
94,2,33,59,178,0.1
95,2,33,59,177,0.1
96,2,33,59,178,0.1
97,2,33,59,177,0.1
98,2,33,59,177,0.1
99,2,33,59,177,0.1
100,2,33,59,177,0.1
101,2,33,59,178,0.1
102,2,33,59,177,0.1
103,2,33,59,178,0.1
104,2,32,59,177,0.1
105,2,32,59,178,0.1
106,2,33,59,178,0.1
107,2,33,59,178,0.1
108,2,33,59,177,0.1
109,2,33,59,177,0.1
110,2,33,58,177,0.1
111,2,33,59,178,0.1
112,2,32,59,178,0.1
113,2,33,58,177,0.1
114,2,32,58,178,0.0
115,2,32,57,178,0.0
116,2,31,58,177,0.0
13,3,33,58,177,0.1
14,3,33,58,177,0.5
15,3,33,58,177,0.7
16,3,32,58,177,0.7
17,3,33,59,178,0.7
18,3,32,59,177,0.7
19,3,33,58,177,0.7
20,3,33,58,178,0.7
21,3,33,59,178,0.7
22,3,33,59,178,0.7
23,3,33,59,178,0.7
24,3,33,58,177,0.7
25,3,33,59,177,0.7
26,3,32,59,178,0.7
27,3,32,59,178,0.7
28,3,32,58,177,0.7
29,3,33,58,177,0.7
30,3,33,58,177,0.7
31,3,33,59,178,0.7
32,3,33,58,178,0.7
33,3,33,58,177,0.7
34,3,33,58,178,0.7
35,3,33,58,178,0.7
36,3,33,59,178,0.7
37,3,33,59,178,0.7
38,3,33,59,178,0.7
39,3,33,58,177,0.7
40,3,33,59,178,0.7
41,3,33,59,177,0.7
42,3,33,59,177,0.7
43,3,33,59,178,0.7
44,3,32,58,178,0.7
45,3,33,59,178,0.7
46,3,33,58,177,0.7
47,3,33,58,177,0.7
48,3,33,59,177,0.7
49,3,33,58,177,0.7
50,3,33,58,177,0.7
51,3,33,58,177,0.7
52,3,33,58,177,0.7
53,3,32,58,178,0.7
54,3,33,58,178,0.7
55,3,33,58,178,0.7
56,3,32,58,177,0.7
57,3,33,58,177,0.7
58,3,32,58,177,0.7
59,3,32,58,177,0.7
60,3,32,58,178,0.7
61,3,33,58,178,0.5
62,3,32,59,178,0.1
83,3,33,59,178,0.1
84,3,32,59,178,0.5
85,3,33,58,177,0.7
86,3,33,58,177,0.7
87,3,32,58,178,0.7
88,3,33,59,178,0.7
89,3,33,58,178,0.7
90,3,32,58,177,0.7
91,3,33,58,177,0.7
92,3,32,59,177,0.7
93,3,32,59,177,0.7
94,3,33,59,178,0.7
